"loop","hypothesis","command","wall_time_seconds","throughput_pairs_per_second","memory_bytes","correctness_gate","pairs","nboot","seed"
"single_pair_warm","Native conversion should make the exact five-method single pair low overhead.","Rscript -e 'fast_mr(il6, nboot=100, seed=20260801)'",0.00800000000000001,125,NA,TRUE,1,100,20260801
"single_pair_ivw_egger","Regression methods should be materially cheaper than bootstrap KDE methods.","Rscript -e 'fast_mr(il6, methods=c(""ivw"",""egger""), nboot=100, seed=20260801)'",0.001,999.999999999999,NA,TRUE,1,100,20260801
"grid_point_threads_1","Sharing a grid should remove repeated R conversion even with no bootstrap.","Rscript -e 'fast_mr_grid(grid, nboot=0, threads=1)'",1.242,2012.88244766506,NA,TRUE,2500,100,20260801
"grid_point_threads_4","Four bounded workers should improve the point-estimate grid.","Rscript -e 'fast_mr_grid(grid, nboot=0, threads=4)'",1.122,2228.16399286987,NA,TRUE,2500,100,20260801
"grid_point_threads_10","Ten workers should test the Mini's saturation point without nested pools.","Rscript -e 'fast_mr_grid(grid, nboot=0, threads=10)'",1.117,2238.13786929275,NA,TRUE,2500,100,20260801
"grid_boot_threads_1","Shared bootstrap layouts should make the exact serial grid practical.","Rscript -e 'fast_mr_grid(grid, nboot=100, seed=20260801, threads=1)'",16.601,150.593337750738,NA,TRUE,2500,100,20260801
"grid_boot_threads_4","Four workers should reduce exact bootstrap grid wall time.","Rscript -e 'fast_mr_grid(grid, nboot=100, seed=20260801, threads=4)'",5.279,473.574540632695,NA,TRUE,2500,100,20260801
"grid_boot_threads_10","Ten workers should expose the best bounded throughput on this workload.","Rscript -e 'fast_mr_grid(grid, nboot=100, seed=20260801, threads=10)'",3.971,629.564341475699,NA,TRUE,2500,100,20260801
"parquet_read","Arrow loading should remain separate from native MR compute.","Rscript -e 'fast_read_parquet(""il6_crp.parquet"")'",0.000999999999997669,82000.0000001911,NA,TRUE,82,100,20260801
"grid_correctness_threads","Threading must preserve order and seeded numerical results exactly.","Rscript -e 'max(abs(fast_mr_grid(..., threads=1)-fast_mr_grid(..., threads=10)))'",4.136,604.448742746616,NA,TRUE,2500,100,20260801
"prototype_native_reference","The Rcpp port should retain the validated exact native-grid design.","twosamplemr-fast/.venv/bin/python scripts/benchmark_grid_native.py --backend native --nboot 100 --workers 10 --repeats 5",1.66302141599954,1503.28791676889,139493376,TRUE,2500,100,20260801
"prototype_python_reference","The shared native design should dominate repeated Python pair conversion.","twosamplemr-fast/.venv/bin/python scripts/benchmark_grid_native.py --backend python --nboot 100 --workers 1 --repeats 2",95.032411938,26.3072,NA,TRUE,2500,100,20260801
"TwoSampleMR_0.7.9_warm","fastMR's compiled exact methods should be comparable with the installed upstream R API.","Rscript -e 'TwoSampleMR::mr(il6, method_list=ref_methods, parameters=list(nboot=100))'",0.141000000000005,7.09219858156002,NA,TRUE,1,100,20260801
